Name,Price,Ingredients,Product_Link,Category
Advanced Care Go Fresh Cucumber Roll-On Antiperspirant Deodorant,NONE,Alpha-Isomethyl Ionone,https://www.dove.com/uk/p/advanced-care-go-fresh-cucumber-roll-on-antiperspirant-deodorant.html/00000059092704,Dove Go Fresh
Advanced Care Go Fresh Cucumber Roll-On Antiperspirant Deodorant,NONE,Benzyl Alcohol,https://www.dove.com/uk/p/advanced-care-go-fresh-cucumber-roll-on-antiperspirant-deodorant.html/00000059092704,Dove Go Fresh
Advanced Care Go Fresh Cucumber Roll-On Antiperspirant Deodorant,NONE,Benzyl Salicylate,https://www.dove.com/uk/p/advanced-care-go-fresh-cucumber-roll-on-antiperspirant-deodorant.html/00000059092704,Dove Go Fresh
Advanced Care Go Fresh Cucumber Roll-On Antiperspirant Deodorant,NONE,Citronellol,https://www.dove.com/uk/p/advanced-care-go-fresh-cucumber-roll-on-antiperspirant-deodorant.html/00000059092704,Dove Go Fresh
Advanced Care Go Fresh Cucumber Roll-On Antiperspirant Deodorant,NONE,Coumarin,https://www.dove.com/uk/p/advanced-care-go-fresh-cucumber-roll-on-antiperspirant-deodorant.html/00000059092704,Dove Go Fresh
Advanced Care Go Fresh Cucumber Roll-On Antiperspirant Deodorant,NONE,Hexyl Cinnamal,https://www.dove.com/uk/p/advanced-care-go-fresh-cucumber-roll-on-antiperspirant-deodorant.html/00000059092704,Dove Go Fresh
Advanced Care Go Fresh Cucumber Roll-On Antiperspirant Deodorant,NONE,Limonene,https://www.dove.com/uk/p/advanced-care-go-fresh-cucumber-roll-on-antiperspirant-deodorant.html/00000059092704,Dove Go Fresh
Advanced Care Go Fresh Cucumber Roll-On Antiperspirant Deodorant,NONE,Linalool.,https://www.dove.com/uk/p/advanced-care-go-fresh-cucumber-roll-on-antiperspirant-deodorant.html/00000059092704,Dove Go Fresh
Advanced Care Go Fresh Passion Fruit Roll-On Antiperspirant Deodorant,NONE,Aqua,https://www.dove.com/uk/p/advanced-care-go-fresh-passion-fruit-roll-on-antiperspirant-deodorant.html/00000059095286,Dove Go Fresh
Advanced Care Go Fresh Passion Fruit Roll-On Antiperspirant Deodorant,NONE,Glycerin,https://www.dove.com/uk/p/advanced-care-go-fresh-passion-fruit-roll-on-antiperspirant-deodorant.html/00000059095286,Dove Go Fresh
Advanced Care Go Fresh Passion Fruit Roll-On Antiperspirant Deodorant,NONE,Aluminum Sesquichlorohydrate,https://www.dove.com/uk/p/advanced-care-go-fresh-passion-fruit-roll-on-antiperspirant-deodorant.html/00000059095286,Dove Go Fresh
Advanced Care Go Fresh Passion Fruit Roll-On Antiperspirant Deodorant,NONE,Helianthus Annuus Seed Oil,https://www.dove.com/uk/p/advanced-care-go-fresh-passion-fruit-roll-on-antiperspirant-deodorant.html/00000059095286,Dove Go Fresh
Advanced Care Go Fresh Passion Fruit Roll-On Antiperspirant Deodorant,NONE,Steareth-2,https://www.dove.com/uk/p/advanced-care-go-fresh-passion-fruit-roll-on-antiperspirant-deodorant.html/00000059095286,Dove Go Fresh
Advanced Care Go Fresh Passion Fruit Roll-On Antiperspirant Deodorant,NONE,Parfum,https://www.dove.com/uk/p/advanced-care-go-fresh-passion-fruit-roll-on-antiperspirant-deodorant.html/00000059095286,Dove Go Fresh
Advanced Care Go Fresh Passion Fruit Roll-On Antiperspirant Deodorant,NONE,Steareth-20,https://www.dove.com/uk/p/advanced-care-go-fresh-passion-fruit-roll-on-antiperspirant-deodorant.html/00000059095286,Dove Go Fresh
Advanced Care Go Fresh Passion Fruit Roll-On Antiperspirant Deodorant,NONE,Calcium Chloride,https://www.dove.com/uk/p/advanced-care-go-fresh-passion-fruit-roll-on-antiperspirant-deodorant.html/00000059095286,Dove Go Fresh
