Name,Price in GBR,Ingredients,Product_Link,Category
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Sodium Stearate,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Cocamidopropyl Betaine,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Parfum,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Sodium Palmitate,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Cetearyl Alcohol,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Lauric Acid,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Sodium Isethionate,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Jojoba Esters,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Phenoxyethanol,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Hydroxyacetophenone,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Sodium Chloride,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Sodium Palm Kernelate,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Tetrasodium EDTA,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Sodium Benzoate,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Zinc Oxide,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Punica Granatum Seed Powder,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Butyrospermum Parkii Butter,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Sodium Hydroxide,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Benzyl Salicylate,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Hexyl Cinnamal,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Linalool,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Hydrating Care Body Wash,4.99,Aqua,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Cocamidopropyl Betaine,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Sodium Lauroyl Isethionate,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Glycerin,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Sodium Benzoate,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Parfum,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Sodium Chloride,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Carbomer,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Caprylyl Glycol,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Lauric Acid,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Sodium Hydroxide,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Stearic Acid,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Sodium Lauroyl Glycinate,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Sodium Isethionate,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Palmitic Acid,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,PPG-6,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,PEG-150 Pentaerythrityl Tetrastearate,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Sodium Gluconate,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,PPG-2 Hydroxyethyl Cocamide,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Hydroxystearic Acid,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Betula Alba Leaf Extract,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Aloe Barbadensis Leaf Juice Powder,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Geraniol,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Limonene,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Hydrating Care Body Wash,4.99,Linalool,https://www.dove.com/uk/p/hydrating-care-body-wash.html/08710847929052,Washing and bathing
Fine Silk Liquid Hand Wash Refill,2.99,Aqua,https://www.dove.com/uk/p/fine-silk-liquid-hand-wash-refill.html/08717163573792,Washing and bathing
Fine Silk Liquid Hand Wash Refill,2.99,Sodium Laureth Sulfate,https://www.dove.com/uk/p/fine-silk-liquid-hand-wash-refill.html/08717163573792,Washing and bathing
Fine Silk Liquid Hand Wash Refill,2.99,Glycerin,https://www.dove.com/uk/p/fine-silk-liquid-hand-wash-refill.html/08717163573792,Washing and bathing
Fine Silk Liquid Hand Wash Refill,2.99,Cocamidopropyl Betaine,https://www.dove.com/uk/p/fine-silk-liquid-hand-wash-refill.html/08717163573792,Washing and bathing
Fine Silk Liquid Hand Wash Refill,2.99,Sodium Chloride,https://www.dove.com/uk/p/fine-silk-liquid-hand-wash-refill.html/08717163573792,Washing and bathing
Fine Silk Liquid Hand Wash Refill,2.99,Glycol Distearate,https://www.dove.com/uk/p/fine-silk-liquid-hand-wash-refill.html/08717163573792,Washing and bathing
Fine Silk Liquid Hand Wash Refill,2.99,Parfum,https://www.dove.com/uk/p/fine-silk-liquid-hand-wash-refill.html/08717163573792,Washing and bathing
Fine Silk Liquid Hand Wash Refill,2.99,Sodium Benzoate,https://www.dove.com/uk/p/fine-silk-liquid-hand-wash-refill.html/08717163573792,Washing and bathing
Fine Silk Liquid Hand Wash Refill,2.99,Citric Acid,https://www.dove.com/uk/p/fine-silk-liquid-hand-wash-refill.html/08717163573792,Washing and bathing
Fine Silk Liquid Hand Wash Refill,2.99,Lauric Acid,https://www.dove.com/uk/p/fine-silk-liquid-hand-wash-refill.html/08717163573792,Washing and bathing
